SHEET_TYPE_TEXT,Max Num Of Chars,Dead Text,Hash Codes,,Languages,,,,,,,,,,,,,Output For All Levels,HT_File_Map_ab_cana,HT_File_Map_ab_cncl,HT_File_Map_ab_cin1,HT_File_Map_ab_cin2,HT_File_Map_ab_musm,HT_File_Map_ab_nrth,HT_File_Map_ab_sewr,HT_File_Map_ab_shop,HT_File_Map_ab_sth,HT_File_Map_ak_du6,HT_File_Map_hl_cp,HT_File_Map_hl_da2,HT_File_Map_hl_da3,HT_File_Map_hl_dng,HT_File_Map_hl_ext,HT_File_Map_hl_ws1,HT_File_Map_hl_ws2,HT_File_Map_hl_ws3,HT_File_Map_hl_rm1,HT_File_Map_lu_pala,HT_File_Map_lu_pyra,HT_File_Map_MG_Simon,HT_File_Map_mg_pairs,HT_File_Map_mg_shoot,HT_File_Map_mg_walls,HT_File_Map_mu_cast,HT_File_mum_eye,HT_File_mum_eyei,HT_File_mum_gebq,HT_File_Map_mu_htrn,HT_File_Map_mu_imp2,HT_File_mum_inch,HT_File_mum_jail,HT_File_mum_ldge,HT_File_mum_pala,HT_File_Map_mu_roto,HT_File_mum_sewr,HT_File_mum_towr,HT_File_mum_trch,HT_File_mum_trei,HT_File_mum_udng,HT_File_mum_well,HT_File_urk_4pat,HT_File_Map_ur_cast,HT_File_Map_ur_intr,HT_File_FrontEnd,HT_File_DemoMap,HT_File_Monster_Test,HT_File_Mummy_Test,HT_File_Map_cas_lowr,HT_File_BOSTest,,Game Data,,,Sound Information,,,
,,,HT_Text_Hel_Exterior_NomadHusband_WifeBack01,,The hero has returned! You rescued my wife! How can I ever repay you?<E>,The hero has returned! You rescued my wife! How can I ever repay you?<E>,Der Held ist zurückgekehrt! Du hast meine Frau gerettet! Wie kann ich das jemals wiedergutmachen?<E>,Mon héros! Tu as retrouvé ma femme! Comment puis-je te remercier?<E>,¡El héroe ha vuelto! ¡Rescataste a mi mujer! ¿Cómo te lo podría agradecer?<E>,L'eroe è tornato! Hai salvato mia moglie! Come potrò mai ripagarti?<E>,영웅이 돌아왔다! 제 아내를 구했군요! 어떻게 보답하면 되죠?<E>,**The hero has returned! You rescued my wife! How can I ever repay you?<E>*,The hero has returned! You rescued my wife! How can I ever repay you?<E>,The hero has returned! You rescued my wife! How can I ever repay you?<E>,O herói retornou! Você salvou minha esposa! Como poderei te retribuir?<E>,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadHusband_WifeBack02,,"I didn't realize when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>","I didn't realise when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>","Bei unserem ersten Treffen hatte ich nicht bemerkt, dass du ein Schüler unseres Freundes Imhotep bist. Er sagte, dass er auf der <FC 128,64,0>Sonnenschreininsel<END FC> mit dir sprechen wolle.<E>","La première fois que je t'ai vu, je ne savais pas que tu étais un apprenti de notre ami Imhotep. Il veut te parler, dans le <FC 128,64,0>Temple solaire<END FC>.<E>","Cuando nos conocimos, no me di cuenta de que eras un aprendiz de nuestro amigo Imhotep. Dice que quiere hablar contigo en el <FC 128,64,0>Santuario Solar<END FC>.<E>","Al nostro primo incontro non avevo capito che eri un apprendista del nostro amico Imhotep. Dice che desidera parlare con te nel <FC 128,64,0>Tempio del Sole<END FC>.<E>","처음 만났을 때 당신이 우리 친구인 임호텝의 제자인 것을 몰랐어요. 당신과 <FC 128,64,0>태양 성당<END FC>에서 만나 이야기하고 싶다고 하더군요.<E>","**I didn't realize when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>*","I didn't realize when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>","I didn't realize when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>","I didn't realize when we first met that you were an apprentice of our friend Imhotep. He said that he wants to speak with you in the <FC 128,64,0>Sun Shrine<END FC>.<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadHusband_WifeBack03,,He also asked me to give you this. He seemed to think it would prove to be useful in your quest.<E>,He also asked me to give you this. He seemed to think it would prove to be useful in your quest.<E>,"Außerdem bat er mich, dir dies hier zu geben. Er schien zu glauben, dass du es bei deiner Aufgabe gebrauchen könntest.<E>",Il m'a aussi demandé de te donner ça. Il pense que ça te sera utile pour mener à bien ta quête.<E>,También me pidió que te diera esto. Al parecer cree que te resultará útil en tu aventura.<E>,Mi ha chiesto di darti questo. Pensava che ti sarebbe stato utile nella tua ricerca.<E>,그가 이것도 전해주라고 했어요. 당신이 모험하는 동안 이것이 유용하게 될 것이라고 생각하는 것 같더군요.<E>,**He also asked me to give you this. He seemed to think it would prove to be useful in your quest.<E>*,He also asked me to give you this. He seemed to think it would prove to be useful in your quest.<E>,He also asked me to give you this. He seemed to think it would prove to be useful in your quest.<E>,Ele também me pediu para te dar isso. Ele acha que poderá ser útil na sua jornada.<E>,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadHusband_WifeBack04,,"It brings tears of joy having Ketta back home. Thanks again, stranger. Thank you!<E>","It brings tears of joy having Ketta back home. Thanks again, stranger. Thank you!<E>","Mir kommen die Freudentränen, weil Ketta wieder da ist. Nochmals vielen Dank, Fremder. Danke!<E>","Ketta est de retour, j'en pleure de joie. Merci du fond du cœur, étranger!<E>",¡Qué alegría volver a ver a Ketta de nuevo en casa! ¡Gracias de nuevo! ¡Gracias!<E>,"Avere Ketta a casa mi fa piangere di gioia. Grazie ancora, straniero. Grazie!<E>","케타가 집으로 돌아와 너무 기뻐 눈물이 날 지경이군요. 다시 한번 고맙습니다, 이방인이여, 고맙습니다!<E>","**It brings tears of joy having Ketta back home. Thanks again, stranger. Thank you!<E>*","It brings tears of joy having Ketta back home. Thanks again, stranger. Thank you!<E>","It brings tears of joy having Ketta back home. Thanks again, stranger. Thank you!<E>","Ter Ketta de volta em casa me traz lágrimas de alegria. Obrigado novamente, estranho. Obrigado!<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Normal01,,"My husband is worried about <FC 128,64,0>Heliopolis<END FC>. I can't blame him. It has become a dark, oppressive place.<E>","My husband is worried about <FC 128,64,0>Heliopolis<END FC>. I can't blame him. It has become a dark, oppressive place.<E>","Mein Mann macht sich Sorgen um <FC 128,64,0>Heliopolis<END FC>. Ich kann es ihm nicht verübeln. Es ist zu einem dunklen Ort geworden.<E>","Mon Mari s'inquiète au sujet d'<FC 128,64,0>Héliopolis<END FC>. Je le comprends. Elle devient sombre et oppressante.<E>","A mi marido le preocupa <FC 128,64,0>Heliópolis<END FC>. Y lo entiendo. Se ha convertido en un lugar opresivo.<E>","Mio marito è preoccupato per <FC 128,64,0>Heliopolis<END FC>. Non posso biasimarlo. È diventato un luogo oscuro, opprimente.<E>","내 남편은 <FC 128,64,0>헬리오폴리스<END FC>를 걱정하고 있어요. 그의 탓만은 아니죠. 이곳은 어둡고 가혹한 곳이 되어버렸어요.<E>","**My husband is worried about <FC 128,64,0>Heliopolis<END FC>. I can't blame him. It has become a dark, oppressive place.<E>*","My husband is worried about <FC 128,64,0>Heliopolis<END FC>. I can't blame him. It has become a dark, oppressive place.<E>","My husband is worried about <FC 128,64,0>Heliopolis<END FC>. I can't blame him. It has become a dark, oppressive place.<E>","Meu marido está preocupado com <FC 128,64,0>Heliópolis<END FC>. Não o culpo. Se tornou um lugar sombrio e opressivo.<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Normal02,,"Even so, I'm sure <FC 128,64,0>Heliopolis<END FC> will return to normal soon.<E>","Even so, I'm sure <FC 128,64,0>Heliopolis<END FC> will return to normal soon.<E>","Trotzdem bin ich sicher, dass <FC 128,64,0>Heliopolis<END FC> schon bald wieder normal wird.<E>","Mais je suis sûre qu'<FC 128,64,0>Héliopolis<END FC> redeviendra comme avant.<E>","Pero estoy segura de que <FC 128,64,0>Heliópolis<END FC> volverá a ser como antes.<E>","Anche così, sono certa che <FC 128,64,0>Heliopolis<END FC> tornerà presto normale.<E>","그렇더라도 저는 <FC 128,64,0>헬리오폴리스<END FC>가 정상으로 곧 돌아올 것이라고 확신해요.<E>","**Even so, I'm sure <FC 128,64,0>Heliopolis<END FC> will return to normal soon.<E>*","Even so, I'm sure <FC 128,64,0>Heliopolis<END FC> will return to normal soon.<E>","Even so, I'm sure <FC 128,64,0>Heliopolis<END FC> will return to normal soon.<E>","Ainda assim, tenho certeza de que <FC 128,64,0>Heliópolis<END FC> retornará ao normal em breve.<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Trapped01,,"At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three colored beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>","At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three coloured beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>","Endlich jemand, der mich rettet! Bitte, du musst einen Weg finden, dieses Kraftfeld abzuschalten!<P>Ich bin mir sicher, dass diese drei farbigen Strahlen die Energiequelle des Feldes sind. Wenn du es irgendwie schaffst, sie abzuschalten, kann ich vielleicht entkommen!<E>","Ah! On vient enfin me sauver! Il faut désactiver ce champ de force!<P>Je crois qu'il est alimenté par ces trois rayons de couleur. Si tu trouvais un moyen de les désactiver, je pourrais enfin m'échapper!<E>","¡Por fin alguien viene a rescatarme! ¡Debes encontrar la manera de desactivar este campo de fuerza!<P>Seguro que esos tres rayos de colores lo hacen funcionar. Si descubres cómo desactivarlos, podría escapar.<E>","Finalmente qualcuno è venuto a salvarmi! Per piacere, trova un sistema per disattivare questo campo di forza!<P>Sono certa che è alimentato da quei tre raggi colorati. Se riesci a disattivarli, forse potrei riuscire a scappare!<E>","제발 나를 구해 주세요! 당신이 이 에너지장을 없앨 수 있는 방법을 찾아야만 해요!<P>저 3색의 광선들이 에너지장에 힘을 공급하는 게 확실해요. 그것들만 없앨 수 있다면, 탈출할 수 있을지도 몰라요!<E>","**At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three colored beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>*","At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three colored beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>","At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three colored beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>","At last, someone to rescue me! Please, you must find a way to deactivate this force field!<P>I'm sure those three colored beams are powering the force field. If you could find a way to deactivate them, I might be able to escape!<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Trapped02,,Please you must help me!<E>,Please you must help me!<E>,"Bitte, du musst mir helfen!<E>",Au secours!<E>,"¡Por favor, debes ayudarme!<E>","Per piacere, devi aiutarmi!<E>",제발 저 좀 도와주셔요!<E>,**Please you must help me!<E>*,Please you must help me!<E>,Please you must help me!<E>,"Por favor, você precisa me ajudar!<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Back01,,"You are my hero, stranger!<E>","You are my hero, stranger!<E>","Du bist mein Held, Fremder!<E>",Tu es mon héros!<E>,"¡Eres mi héroe, extranjero!<E>","Straniero, sei il mio eroe!<E>","당신은 나의 영웅입니다, 이방인이여!<E>","**You are my hero, stranger!<E>*","You are my hero, stranger!<E>","You are my hero, stranger!<E>","Você é meu herói, estrangeiro!<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_NomadWife_Back02,,"I will never forget what you've done for me, stranger. You have a place in my heart.<E>","I will never forget what you've done for me, stranger. You have a place in my heart.<E>","Ich werde niemals vergessen, was du für mich getan hast. Du hast einen Platz in meinem Herzen.<E>",Je n'oublierai jamais ce que tu as fait et ton visage restera gravé dans mon cœur.<E>,"Nunca olvidaré lo que has hecho por mí, extranjero. Tienes un lugar en mi corazón.<E>","Non dimenticherò mai quello che hai fatto per me, straniero. Hai un posto nel mio cuore.<E>",저를 구해주신 일 절대 잊지 못할 거에요. 가슴속 깊이 간직하겠습니다.<E>,"**I will never forget what you've done for me, stranger. You have a place in my heart.<E>*","I will never forget what you've done for me, stranger. You have a place in my heart.<E>","I will never forget what you've done for me, stranger. You have a place in my heart.<E>","Eu nunca vou esquecer o que fez por mim, estrangeiro. Você tem um lugar no meu coração.<E>",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Intro01,,"Hello there! Say, are you one of those adventurers in search of treasure and the like?<N>  <B 1> Yes<N>  <B 2> No<E>","Hello there! Say, are you one of those adventurers in search of treasure and the like?<N>  <B 1> Yes<N>  <B 2> No<E>","Hallo! Sag, bist du einer dieser Abenteurer, die nach Schätzen und dergleichen suchen?<N>  <B 1> Ja<N>  <B 2> Nein<E>","Salut! Dis-moi, tu ne serais pas un de ces aventuriers en quête de trésor?<N>  <B 1> Oui<N>  <B 2> Non<E>",¡Hola! ¿Eres uno de esos aventureros que busca tesoros y ese tipo de cosas?<N>  <B 1> Sí<N>  <B 2> No<E>,"Ehilà! Dimmi, sei un avventuriero in cerca di tesori e roba simile?<N>  <B 1> Sì<N>  <B 2> No<E>","안녕하십니까! 혹시, 당신은 보물이나 그런 것들을 찾는 모험가들 중의 하나입니까?<N>  <B 1> 예<N>  <B 2> 아니오<E>","**Hello there! Say, are you one of those adventurers in search of treasure and the like?<N>  <B 1> Yes<N>  <B 2> No<E>*","Hello there! Say, are you one of those adventurers in search of treasure and the like?<N>  <B 1> Yes<N>  <B 2> No<E>","Hello there! Say, are you one of those adventurers in search of treasure and the like?<N>  <B 1> Yes<N>  <B 2> No<E>","Olá! Diga, seria você um daqueles aventureiros em busca de tesouros e coisas do tipo?<N>  <B 1> Sim<N>  <B 2> Não<E>",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Intro01Accept,,"Ahh... I thought so, you look the type.<E>","Ahh... I thought so, you look the type.<E>",Ah... dachte ich mir. Man sieht es dir an.<E>,"Ah bon, tu m'en avais tout l'air...<E>",Ahh... Pues la verdad es que lo pareces.<E>,"Ahh... l'ho pensato, mi sembravi il tipo.<E>","오... 그럴 거라고 생각했어요, 딱 그렇게 보이는걸요.<E>","**Ahh... I thought so, you look the type.<E>*","Ahh... I thought so, you look the type.<E>","Ahh... I thought so, you look the type.<E>","Ahh... eu imaginei que fosse, você tem cara.<E>",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Intro01Decline,,"Well, looks can be deceiving I guess. I'm a Squirt Herdsman, but you wouldn't know it to look at me.<E>","Well, looks can be deceiving I guess. I'm a Squirt Herdsman, but you wouldn't know it to look at me.<E>","Nun, das Aussehen kann wohl täuschen. Ich bin ein Knirpshüter, aber ansehen kann man mir es nicht.<E>","Les apparences sont trompeuses. Je suis bien Gardien de Timoris, on ne dirait pas, hein?<E>","Bueno, supongo que las apariencias engañan. Yo soy pastor de Mequetrefes, pero nadie lo diría por mi aspecto.<E>","A volte l'aspetto può ingannare. Sono un Pastore di Squirt, ma non puoi capirlo guardandomi.<E>","흠, 외형만 보고 판단할 수는 없겠죠. 나는 스쿼트 목동입니다만 절 보기만 해서는 알아차릴 수 없을 거에요.<E>","**Well, looks can be deceiving I guess. I'm a Squirt Herdsman, but you wouldn't know it to look at me.<E>*","Well, looks can be deceiving I guess. I'm a Squirt Herdsman, but you wouldn't know it to look at me.<E>","Well, looks can be deceiving I guess. I'm a Squirt Herdsman, but you wouldn't know it to look at me.<E>","Bem, as aparências enganam, não é? Eu sou um pastor de Esguichos, mas você não saberia disso só olhando pra mim.<E>",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt01,,"So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>","So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>","Also, Herr Abenteurer. Ich mache dir ein Angebot. Ich habe hier einen schönen, glitzernden Schatz, den du bestimmt gerne hättest.<P>Wenn du mir hilfst, meine Knirpse wieder ins Gehege zu treiben, dann gebe ich ihn dir.<P>Und? Bist du dabei?<N>  <B 1> Ja<N>  <B 2> Nein<E>","Eh bien, j'ai une proposition à te faire. J'ai un joli petit trésor qui pourrait bien de t'intéresser.<P>Si tu m'aide à ramener mon troupeau de Timoris dans l'enclos, je te donnerai ce trésor.<P>Acceptes-tu mon offre?<N>  <B 1> Oui<N>  <B 2> Non<E>","Así que, Sr. Aventurero, te haré una oferta. Tengo aquí un precioso tesoro que estoy seguro de que te va a parecer muy interesante.<P>Si puedes ayudarme a meter a mis Mequetrefes de nuevo en este redil, te daré este trozo de tesoro.<P>¿Aceptas mi oferta?<N>  <B 1> Sí<N>  <B 2> No<E>","Così, signor Avventuriero, ti farò un'offerta. Ho qui un tesoro luccicante che sono certo ti interesserà molto.<P>Se mi aiuterai a radunare i miei Squirt nel recinto, ti darò questo tesoro.<P>Accetti la mia offerta?<N>  <B 1> Sì<N>  <B 2> No<E>","그럼 모험가선생, 제가 제안을 하죠. 여기 댁이 좋아할 만 한 멋지고 빛나는 보물을 제가 가지고 있습니다.<P>만약 당신이 나의 스쿼트들을 여기 있는 축사로 모으는 것을 도와준다면, 이 보물을 주겠습니다.<P>저의 제안을 받아들이시겠습니까?<N>  <B 1> 예<N>  <B 2> 아니오<E>","**So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>*","So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>","So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>","So Mr. Adventurer, I'll make you an offer. I have a nice shiny piece of treasure here that I'm sure you would find very interesting.<P>If you can help me by herding my Squirts back into the pen here, then I'll give you this piece of treasure.<P>So do you accept my offer?<N>  <B 1> Yes<N>  <B 2> No<E>",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt01Accept,,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,"Sehr schön! Dann kümmere dich um die Knirpse. Komme wieder und sprich mich an, sobald du fertig bist.<E>",Excellent! Rassemble mes Timoris et préviens-moi quand tu auras terminé.<E>,¡Excelente! Reúne a los animales y ven a buscarme cuando hayas terminado.<E>,Eccellente! Raduna gli Squirt e torna; quando avrai finito parla con me.<E>,좋습니다! 스쿼트들을 다 모은 후에 돌아와서 저와 대화를 하시죠.<E>,**Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>*,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excelente! Reúna todos os Esguichos e volte para falar comigo quando tiver terminado.<E>,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt01Decline,,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,"Ah, gut... dann muss ich meinen schönen Schatz wohl selbst behalten.<E>","Ah, je vois. Je vais devoir me le garder, mon trésor...<E>","Ah, bien. Supongo que tendré que quedarme con el precioso trozo del tesoro.<E>",Ahh bene... credo che dovrò tenere il mio tesoro per me.<E>,오 그럼... 저의 멋진 빛나는 보물을 제가 그냥 가지고 있어야겠군요.<E>,**Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>*,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh bem... acho que terei que guardar meu lindo e brilhante pedaço de tesouro para mim.<E>,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt02,,"It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>","It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>","Es geht um meine Knirpse. Die sind alle abgehauen und ich brauche jemanden, der sie für mich zusammentreibt. Wenn du mir dabei helfen könntest, soll es dein Schaden nicht sein.<P>Also, hilfst du mir?<N>  <B 1> Ja<N>  <B 2> Nein<E>","Ce sont mes Timoris. Ils se sont échappés et j'ai besoin que quelqu'un me les attrape. Si tu faisais ça pour moi, je saurais te récompenser.<P>Veux-tu m'aider?<N>  <B 1> Oui<N>  <B 2> Non<E>","Son mis Mequetrefes. Se han escapado todos y necesito que alguien los reúna. Si pudieras ayudarme, te recompensaría.<P>¿Me vas a ayudar?<N>  <B 1> Sí<N>  <B 2> No<E>","Sono i miei Squirt. Sono scappati tutti e ho bisogno di qualcuno che li raduni per me. Se mi aiuterai, ricompenserò il tuo sforzo.<P>Mi aiuterai?<N>  <B 1> Sì<N>  <B 2> No<E>","그러니까, 제 스쿼트들이에요. 모두 탈출해버려서 누군가 저 녀석들을 다 모아주어야 해요. 저를 도와주신다면 제가 보상을 해드리죠.<P>그럼 도와주시겠습니까?<N>  <B 1> 예<N>  <B 2> 아니오<E>","**It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>*","It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>","It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>","It's my Squirts, you see. They've all escaped and I need somebody to round them up for me. If you could help me I'd make it worth your while.<P>So will you help me?<N>  <B 1> Yes<N>  <B 2> No<E>",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt02Accept,,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,"Sehr schön! Dann kümmere dich um die Knirpse. Komme wieder und sprich mich an, sobald du fertig bist.<E>",Excellent! Rassemble mes Timoris et préviens-moi quand tu auras terminé.<E>,¡Excelente! Reúne a los animales y ven a buscarme cuando hayas terminado.<E>,"Ottimo! Raduna gli Squirt e torna quando hai finito, se vuoi parlarmi.<E>",훌륭해요! 스쿼트들을 모으는 것을 끝낸 후 돌아와 저와 이야기합시다.<E>,**Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>*,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excellent! Round up the Squirts and come back and talk to me when you've finished.<E>,Excelente! Reúna todos os Esguichos e volte para falar comigo quando tiver terminado.<E>,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt02Decline,,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,"Ah, gut... dann muss ich meinen schönen Schatz wohl selbst behalten.<E>","Ah, je vois. Je vais devoir me le garder, mon trésor...<E>","Ah, bien. Supongo que tendré que quedarme con el precioso trozo del tesoro.<E>","Ah, beh... Vuol dire che mi terrò questo piccolo tesoro luccicante tutto per me.<E>",오 그럼... 저의 멋진 빛나는 보물을 제가 그냥 가지고 있어야겠군요.<E>,**Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>*,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh well... I guess I'll have to keep my nice shiny piece of treasure to myself.<E>,Ahh bem... acho que terei que guardar meu lindo e brilhante pedaço de tesouro para mim.<E>,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_Exterior_SquirtHerd_Prompt03,,Have you decided to help me out?<N>  <B 1> Yes<N>  <B 2> No<E>,Have you decided to help me out?<N>  <B 1> Yes<N>  <B 2> No<E>,"Hast du dich entschlossen, mir zu helfen?<N>  <B 1> Ja<N>  <B 2> Nein<E>",Veux-tu bien m'aider?<N>  <B 1> Oui<N>  <B 2> Non<E>,¿Has decidido ayudarme?<N>  <B 1> Sí<N>  <B 2> No<E>,Hai deciso di aiutarmi?<N>  <B 1> Sì<N>  <B 2> No<E>,저를 도와주시기로 결정하셨나요?<N>  <B 1> 예<N>  <B 2> 아니오<E>,**Have you decided to help me out?<N>  <B 1> Yes<N>  <B 2> No<E>*,Have you decided to help me out?<N>  <B 1> Yes<N>  <B 2> No<E>,Have you decided to help me out?<N>  <B 1> Yes<N>  <B 2> No<E>,Você decidiu me ajudar?<N>  <B 1> Sim<N>  <B 2> Não<E>,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
